Code;Automatisme
🔢↩1;Savoir effectuer un calcul contenant des parenthèses.
🔢↩2;Multiplier un nombre décimal par 10, 100 ou 1 000
🔢↩3;Résoudre des problèmes additifs en une ou plusieurs étapes (CM2).
🔢🛠1;"L'élève restitue de manière automatique les résultats suivants, relatifs aux relations entre 1/1000, 1/100, 1/10 et 1 : 1 = 10/10 = 100/100 = 1000/1000 ; 1/10 = 10/100 = 100/1000 ; 1/100 = 10/1000 ; 1 = 10 x 1/10 = 100 x 1/100 ; 1/10 = 10 x 1/100."
🔢🛠2;"L’élève restitue de manière automatique les équivalences d’écriture suivantes : 1/10=0,1; 1/100=0,01; 1/1000=0,001."
🔢🛠3;L’élève passe de manière automatique d’une écriture sous forme de fraction décimale ou de somme de fractions décimales à une écriture décimale, et inversement.
🔢🛠4;L’élève applique de manière automatique la procédure de multiplication d’un nombre décimal par 1, par 10, par 100 ou par 1 000, en lien avec la numération.
🔢🛠5;L'élève applique de manière automatique la procédure de division d'un nombre décimal par 1, par 10, par 100 ou par 1000.
➗↩1;Savoir interpréter, représenter, écrire et lire des fractions
➗↩2;Interpréter, représenter, écrire et lire des fractions.
➗↩3;Écrire une fraction supérieure à 1 comme la somme d’un entier et d’une fraction inférieure à 1 (CM2).
➗↩4;Écrire la somme d’un entier et d’une fraction inférieure à 1 comme une unique fraction (CM2).
➗↩5;Encadrer une fraction entre deux nombres entiers consécutifs (CM2).
➗🛠1;L'élève sait reconnaître une fraction sur des représentations variées.
➗🛠2;"L'élève connaît des relations entre 1/4, 1/2, 3/4 et 1, et complète de manière automatique des « égalités à trous » du type : 1/2 + 1/2 = ... ; 1/4 + 1/4 = ... ; 1 - 1/4 = ... ; 1/2 + 1/4 = ... ; 1 - 1/2 = ... ; 3/4 + 1/4 = ... ; 1/2 - 1/4 = ... ; 3/4 - 1/4 = ...."
➗🛠3;"L'élève sait passer de manière automatique d'une écriture fractionnaire à une écriture décimale, et inversement, dans les cas suivants : 1/4 = 0,25 ; 1/2 = 0,5 ; 3/4 = 0,75 ; 3/2 = 1,5 ; 3/2 = 2 ; 3/2 = 2,5."
➗🛠4;Les notions de diviseur et de multiple et les tables de multiplication sont réactivées en vue de leur utilisation dans le calcul sur les fractions (simplification, addition et soustraction).
